pid, bhid, bhhsize, bage, doby, bsex, race, racel, yr2uk4, bmastat, bnchild, bnkids, bnch02, bnch34, bnch511, bnch1215, bjbstat, degree, resp_sec_5cat_b, parent_sec_5cat_b, bvote1, bvote2, bvote4, bvote5, bvote6, bvote7, bvote8, borgm, borgma, borgmb, borgmj, borgaf, borgmg, 
65294174, 80040779, 2, 60, 1931, male, white, white br, inapplic, married, 0, none, none, none, none, none, self-emp, 1, II/IIIa, V/VI, yes, inapplic, none, not at  a, very int, no, conserva, yes, not ment, not ment, not ment, active r, not ment, 
78965749, 94680851, 3, 27, 1965, female, white, inapplic, inapplic, married, 1, 1, 1, none, none, 1, self-emp, 0, II/IIIa, II/IIIa, no, no, none, not at  a, not very, yes, inapplic, yes, not ment, not ment, member s, not ment, not ment, 
50275783, 94680851, 3, 26, 1966, male, white, inapplic, 1974, married, 1, 1, 1, 1, none, none, employed, 1, VII/IIIb, VII/IIIb, no, no, none, fairly s, fairly i, yes, inapplic, yes, not ment, member t, not ment, not ment, not ment, 
64626023, 61031410, 4, 22, 1970, male, white, white br, inapplic, never ma, 0, none, none, none, none, none, ft studt, 1, VII/IIIb, II/IIIa, no, no, none, not at  a, not very, yes, inapplic, yes, not ment, not ment, member s, not ment, not ment, 
86826058, 61031410, 4, 21, 1970, male, white, white br, inapplic, never ma, 0, none, none, none, none, none, ft studt, 0, V/VI, V/VI, no, no, none, not at  a, fairly i, can't vo, inapplic, yes, not ment, not ment, not ment, not ment, not ment, 
33806077, 61031410, 4, 21, 1971, male, white, inapplic, inapplic, never ma, 0, none, none, none, none, none, ft studt, 0, II/IIIa, VII/IIIb, no, yes, labour, not very, fairly i, can't vo, labour, yes, not ment, not ment, not ment, not ment, not ment, 
23356092, 61031410, 4, 21, 1971, male, white, inapplic, inapplic, never ma, 0, none, none, none, none, none, ft studt, 0, II/IIIa, II/IIIa, no, yes, labour, not very, not at a, can't vo, labour, yes, not ment, not ment, not ment, not ment, not ment, 
80385091, 94310256, 5, 37, 1954, male, white, inapplic, inapplic, married, 3, 3, 3, none, 1, 2, self-emp, 1, IV, II/IIIa, no, yes, conserva, not very, fairly i, no, conserva, yes, not ment, not ment, not ment, active r, not ment, 
66695180, 94310256, 5, 37, 1955, female, white, inapplic, inapplic, married, 3, 3, none, 1, 2, 3, family c, 1, II/IIIa, II/IIIa, no, no, none, not at  a, fairly i, no, conserva, yes, not ment, not ment, not ment, active r, not ment, 
73685423, 92720368, 3, 32, 1960, female, white, white br, inapplic, separate, 2, 2, 2, none, none, 2, self-emp, 0, II/IIIa, IV, no, yes, labour, not very, fairly i, can't vo, labour, no, not ment, not ment, not ment, not ment, not ment, 
60256060, 88940803, 1, 21, 1970, male, black-ca, black/br, inapplic, never ma, 0, none, none, none, none, none, other, 0, II/IIIa, I, no, no, none, not at  a, not very, yes, inapplic, yes, not ment, not ment, member s, active r, not ment, 
9705432, 80480201, 1, 32, 1960, male, white, white br, inapplic, never ma, 0, none, none, none, none, none, maternit, 1, II/IIIa, IV, yes, inapplic, conserva, very str, fairly i, no, conserva, yes, member p, member t, not ment, active r, not ment, 
69673853, 82420613, 1, 72, 1920, male, white, inapplic, inapplic, never ma, 0, none, none, none, none, none, retired, 0, VII/IIIb, II/IIIa, yes, inapplic, labour, fairly s, fairly i, can't vo, labour, no, not ment, not ment, not ment, not ment, not ment, 
83424124, 82210220, 2, 63, 1929, female, white, other wh, inapplic, married, 0, none, none, none, none, none, family c, 0, V/VI, V/VI, yes, inapplic, labour, not very, not at a, no, conserva, no, not ment, not ment, not ment, not ment, not ment, 
70203676, 28561368, 1, 83, 1909, female, white, inapplic, inapplic, widowed, 0, none, none, none, none, none, retired, 1, V/VI, IV, yes, inapplic, conserva, fairly s, very int, no, conserva, yes, not ment, not ment, member s, active r, member v, 
28494882, 4680356, 4, 41, 1950, female, white, white br, inapplic, married, 2, 2, 2, none, 2, none, employed, 1, II/IIIa, II/IIIa, no, no, none, fairly s, fairly i, can't vo, lib dem, yes, not ment, not ment, not ment, active r, not ment, 
19424985, 4680356, 4, 39, 1952, male, white, inapplic, inapplic, married, 2, 2, 2, none, none, 2, employed, 0, I, II/IIIa, proxy re, proxy re, none, not at  a, not at a, no, lib dem, yes, not ment, not ment, not ment, not ment, not ment, 
13964256, 44140033, 1, 57, 1934, male, white, inapplic, inapplic, never ma, 0, none, none, none, none, none, employed, 0, VII/IIIb, VII/IIIb, no, no, none, not at  a, not very, can't vo, conserva, yes, not ment, not ment, not ment, active r, not ment, 
7494166, 73701241, 2, 61, 1931, female, white, white br, inapplic, married, 0, none, none, none, none, none, family c, 0, VII/IIIb, V/VI, yes, inapplic, conserva, not very, not very, can't vo, conserva, yes, not ment, not ment, not ment, not ment, not ment, 
95714182, 73701241, 2, 61, 1931, female, white, white br, inapplic, married, 0, none, none, none, none, none, lt sick, 0, IV, VII/IIIb, yes, inapplic, conserva, not very, fairly i, no, conserva, yes, not ment, not ment, not ment, not ment, not ment, 
80355413, 10630907, 4, 32, 1960, male, white, inapplic, inapplic, married, 2, 2, 2, none, 1, none, employed, 0, V/VI, V/VI, no, no, none, not at  a, fairly i, can't vo, inapplic, yes, not ment, not ment, member s, not ment, not ment, 
57265496, 10630907, 4, 31, 1961, female, white, white br, 1961, married, 2, 2, none, none, 1, 2, employed, 0, VII/IIIb, V/VI, yes, inapplic, labour, not very, not at a, yes, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
79174314, 5520852, 3, 56, 1936, male, black-ca, inapplic, 1956, living a, 0, none, none, none, none, none, employed, 0, VII/IIIb, IV, no, yes, labour, not very, not very, no, labour, no, not ment, not ment, not ment, not ment, not ment, 
34734332, 5520852, 3, 56, 1936, female, black-ca, inapplic, 1961, widowed, 0, none, none, none, none, none, maternit, 0, VII/IIIb, IV, no, yes, labour, not very, not very, no, labour, no, not ment, not ment, not ment, not ment, not ment, 
11915635, 5520852, 3, 29, 1963, female, black-ot, other bl, inapplic, never ma, 0, none, none, none, none, none, employed, 0, I, VII/IIIb, yes, inapplic, labour, not very, fairly i, no, labour, yes, not ment, member t, member s, not ment, not ment, 
82125165, 29821178, 3, 37, 1955, male, white, white br, inapplic, married, 1, 1, 1, none, none, 1, employed, 1, V/VI, IV, no, yes, conserva, fairly s, fairly i, can't vo, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
69445218, 29821178, 3, 36, 1956, female, white, white br, inapplic, married, 1, 1, 1, none, none, 1, employed, 0, V/VI, II/IIIa, no, no, none, not at  a, not very, no, conserva, no, not ment, not ment, not ment, not ment, not ment, 
46003731, 33901282, 1, 79, 1913, female, white, inapplic, inapplic, widowed, 0, none, none, none, none, none, retired, 0, VII/IIIb, V/VI, no, yes, labour, not at  a, not at a, can't vo, labour, no, not ment, not ment, not ment, not ment, not ment, 
54094442, 75340244, 5, 51, 1940, female, white, white br, inapplic, married, 2, 2, 2, none, none, 1, lt sick, 0, II/IIIa, II/IIIa, yes, inapplic, conserva, very str, fairly i, can't vo, conserva, yes, not ment, member t, not ment, not ment, not ment, 
95924701, 75340244, 5, 46, 1946, female, white, white br, inapplic, married, 2, 2, none, 2, none, 1, self-emp, 0, IV, II/IIIa, yes, inapplic, lib dem, fairly s, fairly i, no, lib dem, no, not ment, not ment, not ment, not ment, not ment, 
46466064, 75340244, 5, 22, 1970, male, white, inapplic, inapplic, never ma, 0, 2, none, 2, none, 1, employed, 1, V/VI, I, no, yes, conserva, not very, not very, can't vo, conserva, no, not ment, not ment, not ment, not ment, not ment, 
42975702, 13560817, 5, 26, 1965, male, white, inapplic, inapplic, living a, 3, 3, 3, 3, none, none, self-emp, 1, IV, IV, no, no, none, not at  a, not very, yes, inapplic, yes, not ment, not ment, not ment, not ment, not ment, 
3326086, 13560817, 5, 20, 1971, female, other et, inapplic, inapplic, living a, 3, 3, 3, none, 3, none, family c, 1, V/VI, IV, no, no, none, not at  a, not very, yes, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
40593661, 38710592, 2, 84, 1908, male, white, inapplic, inapplic, married, 0, none, none, none, none, none, retired, 0, II/IIIa, V/VI, no, yes, conserva, not at  a, fairly i, can't vo, conserva, no, not ment, not ment, not ment, active r, not ment, 
69113713, 38710592, 2, 80, 1912, female, white, inapplic, inapplic, married, 0, none, none, none, none, none, retired, 0, II/IIIa, IV, yes, inapplic, conserva, very str, not very, can't vo, conserva, no, member p, not ment, not ment, active r, not ment, 
36765632, 62790816, 5, 28, 1963, female, pakistan, inapplic, 1981, separate, 4, 4, 4, none, none, 4, family c, 0, I, IV, no, no, none, not at  a, not at a, can't vo, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
12165989, 10691112, 2, 23, 1969, female, white, white br, inapplic, never ma, 1, 1, 1, none, 1, none, family c, 0, IV, I, no, yes, labour, not very, not very, no, labour, no, not ment, not ment, not ment, not ment, not ment, 
92313843, 30130632, 2, 73, 1919, male, white, inapplic, 1945, married, 0, none, none, none, none, none, retired, 0, IV, IV, no, yes, lib dem, fairly s, very int, yes, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
90394163, 30130632, 2, 62, 1930, female, white, white br, inapplic, married, 0, none, none, none, none, none, retired, 1, II/IIIa, VII/IIIb, yes, inapplic, lib dem, fairly s, very int, can't vo, lib dem, no, not ment, not ment, not ment, not ment, not ment, 
45603725, 22010273, 1, 80, 1912, female, white, white br, inapplic, widowed, 0, none, none, none, none, none, retired, 0, I, V/VI, yes, inapplic, conserva, very str, fairly i, no, conserva, no, not ment, not ment, not ment, not ment, not ment, 
83725072, 41301429, 5, 39, 1953, male, white, inapplic, 1987, married, 3, 3, 3, none, 1, 2, employed, 1, V/VI, II/IIIa, no, no, none, not at  a, not very, no, inapplic, yes, not ment, not ment, not ment, not ment, not ment, 
85705183, 41301429, 5, 37, 1955, female, other et, inapplic, 1987, married, 3, 3, 3, none, 1, 2, family c, 0, II/IIIa, V/VI, no, no, none, not at  a, not very, yes, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
59194680, 59051249, 6, 45, 1946, male, white, white br, inapplic, married, 3, 3, 3, none, none, none, gvt trng, 0, IV, II/IIIa, yes, inapplic, conserva, very str, not at a, no, conserva, yes, not ment, not ment, not ment, not ment, not ment, 
23224721, 59051249, 6, 45, 1947, female, white, white br, inapplic, married, 3, 3, 3, none, none, none, family c, 0, V/VI, II/IIIa, yes, inapplic, labour, not at  a, not very, can't vo, labour, no, not ment, not ment, not ment, not ment, not ment, 
61406271, 59051249, 6, 18, 1974, male, white, white br, inapplic, never ma, 0, 3, 3, none, none, none, employed, 1, VII/IIIb, II/IIIa, no, no, none, not at  a, not at a, yes, inapplic, yes, not ment, not ment, member s, not ment, not ment, 
93164275, 3920444, 6, 58, 1934, male, chinese, inapplic, inapplic, married, 0, 1, none, none, 1, 1, self-emp, 0, IV, I, proxy re, proxy re, none, fairly s, not at a, yes, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
28594388, 3920444, 6, 54, 1938, female, chinese, inapplic, inapplic, married, 0, 1, 1, 1, none, none, employed, 0, V/VI, II/IIIa, proxy re, proxy re, none, not at  a, not at a, yes, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
13785440, 3920444, 6, 32, 1960, male, chinese, other as, 1974, married, 1, 1, 1, 1, none, none, employed, 0, V/VI, V/VI, no, no, none, not at  a, not at a, yes, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
2235614, 3920444, 6, 29, 1963, female, chinese, chinese, 1989, married, 1, 1, 1, 1, none, none, family c, 1, I, V/VI, proxy re, proxy re, none, not at  a, not at a, yes, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
9626163, 3920444, 6, 19, 1972, male, chinese, chinese, inapplic, never ma, 0, 1, none, 1, none, 1, ft studt, 0, II/IIIa, II/IIIa, no, no, none, not at  a, not at a, can't vo, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
74493688, 10231401, 1, 81, 1911, female, white, inapplic, inapplic, widowed, 0, none, none, none, none, none, retired, 0, VII/IIIb, VII/IIIb, yes, inapplic, conserva, not at  a, not at a, no, conserva, yes, not ment, not ment, not ment, active r, not ment, 
85193768, 40650896, 1, 77, 1915, female, white, inapplic, inapplic, widowed, 0, none, none, none, none, none, retired, 0, VII/IIIb, V/VI, yes, inapplic, labour, fairly s, not very, can't vo, labour, yes, not ment, not ment, not ment, not ment, not ment, 
45703891, 99180702, 2, 71, 1921, male, white, white br, inapplic, married, 0, none, none, none, none, none, retired, 1, II/IIIa, V/VI, no, yes, labour, not very, fairly i, no, labour, no, not ment, not ment, not ment, not ment, not ment, 
18193942, 99180702, 2, 69, 1923, female, white, white br, inapplic, married, 0, none, none, none, none, none, retired, 0, II/IIIa, VII/IIIb, no, yes, labour, not very, fairly i, can't vo, labour, no, not ment, not ment, not ment, not ment, not ment, 
83054222, 97740090, 3, 60, 1932, male, white, any othe, inapplic, married, 0, none, none, none, none, none, unemploy, 0, VII/IIIb, V/VI, no, yes, labour, fairly s, fairly i, can't vo, labour, yes, not ment, not ment, not ment, not ment, not ment, 
2484552, 97740090, 3, 49, 1943, female, white, white br, inapplic, married, 0, none, none, none, none, none, family c, 0, V/VI, II/IIIa, yes, inapplic, labour, not very, very int, can't vo, labour, yes, not ment, not ment, not ment, not ment, not ment, 
81485699, 97740090, 3, 27, 1965, male, white, inapplic, inapplic, never ma, 0, none, none, none, none, none, employed, 0, V/VI, VII/IIIb, no, no, none, not at  a, not very, yes, inapplic, yes, not ment, not ment, member s, not ment, not ment, 
394804, 77941031, 4, 44, 1948, male, white, white br, inapplic, married, 2, 2, 2, none, 1, 1, self-emp, 0, V/VI, I, yes, inapplic, conserva, fairly s, not very, can't vo, conserva, yes, not ment, not ment, not ment, not ment, not ment, 
49345670, 77941031, 4, 28, 1964, female, white, white br, inapplic, married, 2, 2, 2, none, 1, 1, employed, 0, V/VI, V/VI, yes, inapplic, lib dem, very str, not very, can't vo, lib dem, no, not ment, not ment, not ment, not ment, not ment, 
16734294, 72421058, 2, 57, 1935, male, white, inapplic, inapplic, married, 0, none, none, none, none, none, lt sick, 0, V/VI, II/IIIa, no, no, none, not at  a, not very, no, lib dem, no, not ment, not ment, not ment, not ment, not ment, 
46404407, 72421058, 2, 53, 1939, female, white, white br, inapplic, married, 0, none, none, none, none, none, employed, 0, V/VI, VII/IIIb, no, no, none, not at  a, not very, no, lib dem, yes, not ment, not ment, not ment, not ment, member v, 
39055460, 67340493, 2, 32, 1960, male, white, white br, inapplic, living a, 0, none, none, none, none, none, employed, 1, V/VI, V/VI, yes, inapplic, labour, fairly s, fairly i, can't vo, labour, yes, not ment, member t, member s, not ment, not ment, 
83775997, 67340493, 2, 23, 1969, female, white, inapplic, inapplic, living a, 0, none, none, none, none, none, employed, 0, VII/IIIb, II/IIIa, no, no, none, not at  a, fairly i, can't vo, lib dem, yes, not ment, member t, not ment, not ment, not ment, 
60895106, 98931071, 3, 38, 1954, female, white, inapplic, inapplic, divorced, 2, 2, 1, 2, none, none, maternit, 0, VII/IIIb, II/IIIa, yes, inapplic, conserva, very str, very int, can't vo, conserva, yes, not ment, not ment, member s, not ment, not ment, 
78715769, 86450348, 1, 27, 1965, female, white, inapplic, inapplic, never ma, 0, none, none, none, none, none, employed, 1, II/IIIa, I, yes, inapplic, conserva, fairly s, fairly i, no, conserva, yes, not ment, not ment, member s, active r, not ment, 
43014681, 31361259, 1, 45, 1946, female, white, white br, inapplic, divorced, 0, none, none, none, none, none, employed, 0, II/IIIa, V/VI, no, no, none, not at  a, not very, can't vo, labour, no, not ment, not ment, not ment, not ment, not ment, 
58244677, 95610831, 6, 45, 1946, male, indian, white br, 1967, married, 1, 1, none, none, none, 1, employed, 0, V/VI, VII/IIIb, yes, inapplic, labour, fairly s, fairly i, no, labour, yes, not ment, member t, not ment, not ment, not ment, 
24964944, 95610831, 6, 41, 1951, male, indian, asian/br, 1968, married, 1, 1, 1, none, none, none, employed, 1, V/VI, IV, no, no, none, not at  a, fairly i, no, conserva, yes, not ment, not ment, not ment, not ment, not ment, 
87166199, 95610831, 6, 19, 1973, male, banglade, asian/br, inapplic, never ma, 0, 1, 1, none, none, none, ft studt, 0, II/IIIa, II/IIIa, no, yes, labour, not very, not very, no, labour, yes, not ment, member t, member s, not ment, not ment, 
39506270, 95610831, 6, 18, 1974, female, indian, white br, inapplic, never ma, 0, 1, 1, none, none, none, ft studt, 0, II/IIIa, II/IIIa, no, no, none, very str, not very, yes, inapplic, yes, not ment, not ment, member s, not ment, not ment, 
69556302, 95610831, 6, 16, 1975, female, indian, asian/br, inapplic, never ma, 0, 1, none, 1, none, none, ft studt, 0, II/IIIa, II/IIIa, no, no, none, not at  a, not very, no, inapplic, yes, not ment, not ment, member s, not ment, not ment, 
85205231, 16180040, 3, 36, 1956, female, pakistan, inapplic, 1968, divorced, 1, 1, 1, none, none, 1, family c, 0, IV, VII/IIIb, yes, inapplic, conserva, fairly s, fairly i, can't vo, labour, yes, member p, member t, not ment, not ment, not ment, 
49835962, 16180040, 3, 23, 1969, male, pakistan, asian/br, inapplic, never ma, 0, 1, 1, none, none, 1, ft studt, 0, V/VI, IV, no, no, none, not at  a, fairly i, can't vo, labour, yes, not ment, not ment, member s, not ment, not ment, 
24384102, 82300879, 2, 63, 1928, female, white, inapplic, inapplic, married, 0, none, none, none, none, none, family c, 1, II/IIIa, V/VI, no, no, none, not at  a, very int, can't vo, conserva, no, not ment, not ment, not ment, active r, not ment, 
34604154, 82300879, 2, 62, 1930, male, white, inapplic, inapplic, married, 0, none, none, none, none, none, employed, 0, II/IIIa, I, no, no, none, not at  a, fairly i, can't vo, conserva, no, not ment, not ment, not ment, not ment, not ment, 
55114107, 53580779, 2, 63, 1929, female, white, inapplic, inapplic, married, 0, none, none, none, none, none, self-emp, 1, II/IIIa, IV, yes, inapplic, none, not at  a, very int, no, conserva, no, not ment, member t, not ment, active r, not ment, 
86124174, 53580779, 2, 60, 1931, male, white, white br, inapplic, married, 0, none, none, none, none, none, self-emp, 1, II/IIIa, V/VI, yes, inapplic, none, not at  a, very int, no, conserva, no, not ment, not ment, not ment, active r, not ment, 
53563626, 11220222, 1, 93, 1898, female, white, inapplic, inapplic, widowed, 0, none, none, none, none, none, retired, 0, V/VI, II/IIIa, no, yes, conserva, not very, not at a, can't vo, conserva, no, not ment, not ment, not ment, not ment, not ment, 
86524709, 75430882, 2, 45, 1946, male, white, inapplic, inapplic, married, 0, none, none, none, none, none, employed, 1, I, IV, yes, inapplic, conserva, fairly s, very int, no, conserva, yes, not ment, not ment, member s, not ment, not ment, 
76044753, 75430882, 2, 44, 1947, female, white, inapplic, inapplic, married, 0, none, none, none, none, none, employed, 1, II/IIIa, II/IIIa, yes, inapplic, conserva, not very, very int, no, conserva, yes, not ment, member t, not ment, not ment, not ment, 
98674670, 76110862, 4, 46, 1946, female, white, white br, inapplic, married, 1, 1, 1, none, none, none, maternit, 0, V/VI, V/VI, no, no, none, not at  a, fairly i, yes, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
